nome_popular;nome_cientifico;nome_ingles;
bicudinho-do-brejo-paulista;Formicivora paludicola;São Paulo Antwren;
bicudo;Sporophila maximiliani;Great-billed Seed-Finch;
bicudo-encarnado;Periporphyrus erythromelas;Red-and-black Grosbeak;
bigodinho;Sporophila lineola;Lined Seedeater;
biguá;Nannopterum brasilianum;Neotropic Cormorant;
biguatinga;Anhinga anhinga;Anhinga;
boininha;Spartonoica maluroides;Bay-capped Wren-Spinetail;
borboletinha-baiana;Phylloscartes beckeri;Bahia Tyrannulet;
borboletinha-do-mato;Phylloscartes ventralis;Mottle-cheeked Tyrannulet;
borboletinha-guianense;Phylloscartes virescens;Olive-green Tyrannulet;
borralhara;Mackenziaena severa;Tufted Antshrike;
borralhara-assobiadora;Mackenziaena leachii;Large-tailed Antshrike;
borralhara-do-norte;Frederickena viridis;Black-throated Antshrike;
borralhara-ondulada;Frederickena unduliger;Undulated Antshrike;
brilhante-de-garganta-preta;Heliodoxa schreibersii;Black-throated Brilliant;
brilhante-veludo;Heliodoxa xanthogonys;Velvet-browed Brilliant;
cabeça-branca;Pseudopipra pipra;White-crowned Manakin;
cabeça-de-ouro;Ceratopipra erythrocephala;Golden-headed Manakin;
cabeça-de-prata;Lepidothrix iris;Opal-crowned Manakin;
cabeça-encarnada;Ceratopipra rubrocapilla;Red-headed Manakin;
cabeça-seca;Mycteria americana;Wood Stork;
cabecinha-castanha;Thlypopsis pyrrhocoma;Chestnut-headed Tanager;
cabeçudo;Leptopogon amaurocephalus;Sepia-capped Flycatcher;
caboclinho;Sporophila bouvreuil;Copper Seedeater;
caboclinho-coroado;Sporophila pileata;Pearly-bellied Seedeater;
caboclinho-de-barriga-preta;Sporophila melanogaster;Black-bellied Seedeater;
caboclinho-de-barriga-vermelha;Sporophila hypoxantha;Tawny-bellied Seedeater;
caboclinho-de-chapéu-cinzento;Sporophila cinnamomea;Chestnut Seedeater;
caboclinho-de-papo-branco;Sporophila palustris;Marsh Seedeater;
caboclinho-de-papo-escuro;Sporophila ruficollis;Dark-throated Seedeater;
caboclinho-de-peito-castanho;Sporophila castaneiventris;Chestnut-bellied Seedeater;
caboclinho-de-sobre-ferrugem;Sporophila hypochroma;Rufous-rumped Seedeater;
caboclinho-do-pantanal;Sporophila iberaensis;Ibera Seedeater;
caboclinho-do-sertão;Sporophila nigrorufa;Black-and-tawny Seedeater;
caboclinho-lindo;Sporophila minuta;Ruddy-breasted Seedeater;
caburé;Glaucidium brasilianum;Ferruginous Pygmy-Owl;
caburé-acanelado;Aegolius harrisii;Buff-fronted Owl;
caburé-da-amazônia;Glaucidium hardyi;Amazonian Pygmy-Owl;
caburé-de-pernambuco;Glaucidium mooreorum;Pernambuco Pygmy-Owl;
caburé-miudinho;Glaucidium minutissimum;Least Pygmy-Owl;
cacaué;Aratinga maculata;Sulphur-breasted Parakeet;
caçula;Myiornis ecaudatus;Short-tailed Pygmy-Tyrant;
cagarra-de-cabo-verde;Calonectris edwardsii;Cape Verde Shearwater;
cagarra-do-mediterrâneo;Calonectris diomedea;Scopoli's Shearwater;
cagarra-grande;Calonectris borealis;Cory's Shearwater;
cais-cais;Euphonia chalybea;Green-throated Euphonia;
calcamar;Pelagodroma marina;White-faced Storm-Petrel;
calcinha-branca;Atticora tibialis;White-thighed Swallow;
calhandra-de-três-rabos;Mimus triurus;White-banded Mockingbird;
cambacica;Coereba flaveola;Bananaquit;
cambada-de-chaves;Tangara brasiliensis;White-bellied Tanager;
cambaxirra-cinzenta;Odontorchilus cinereus;Tooth-billed Wren;
caminheiro-de-barriga-acanelada;Anthus hellmayri;Hellmayr's Pipit;
caminheiro-de-espora;Anthus correndera;Correndera Pipit;
caminheiro-de-unha-curta;Anthus furcatus;Short-billed Pipit;
caminheiro-dourado;Anthus nattereri;Ochre-breasted Pipit;
caminheiro-zumbidor;Anthus chii;Yellowish Pipit;
campainha-azul;Porphyrospiza caerulescens;Blue Finch;
canário-andino-negro;Rhopospina fruticeti;Mourning Sierra-Finch;
canário-da-terra;Sicalis flaveola;Saffron Finch;
canário-do-amazonas;Sicalis columbiana;Orange-fronted Yellow-Finch;
canário-do-brejo;Emberizoides ypiranganus;Lesser Grass-Finch;
canário-do-campo;Emberizoides herbicola;Wedge-tailed Grass-Finch;
canário-do-mato;Myiothlypis flaveola;Flavescent Warbler;
canário-rasteiro;Sicalis citrina;Stripe-tailed Yellow-Finch;
cancão;Ibycter americanus;Red-throated Caracara;
cancão-da-campina;Cyanocorax hafferi;Campina Jay;
caneleirinho-de-chapéu-preto;Piprites pileata;Black-capped Piprites;
caneleiro;Pachyramphus castaneus;Chestnut-crowned Becard;
caneleiro-bordado;Pachyramphus marginatus;Black-capped Becard;
caneleiro-cinzento;Pachyramphus rufus;Cinereous Becard;
caneleiro-da-guiana;Pachyramphus surinamus;Glossy-backed Becard;
caneleiro-de-cara-amarela;Pachyramphus xanthogenys;Yellow-cheeked Becard;
caneleiro-de-chapéu-preto;Pachyramphus validus;Crested Becard;
caneleiro-enxofre;Casiornis fuscus;Ash-throated Casiornis;
caneleiro-pequeno;Pachyramphus minor;Pink-throated Becard;
caneleiro-preto;Pachyramphus polychopterus;White-winged Becard;
caneleiro-verde;Pachyramphus viridis;Green-backed Becard;
cantador-amarelo;Hypocnemis hypoxantha;Yellow-browed Antbird;
cantador-da-guiana;Hypocnemis cantator;Guianan Warbling-Antbird;
cantador-de-rondon;Hypocnemis rondoni;Manicore Warbling-Antbird;
cantador-estriado;Hypocnemis striata;Spix's Warbling-Antbird;
cantador-galego;Hypocnemis subflava;Yellow-breasted Warbling-Antbird;
cantador-ocráceo;Hypocnemis ochrogyna;Rondonia Warbling-Antbird;
cantador-sinaleiro;Hypocnemis peruviana;Peruvian Warbling-Antbird;
cantador-sulfúreo;Hypocnemis flavescens;Imeri Warbling-Antbird;
capacetinho;Microspingus melanoleucus;Black-capped Warbling-Finch;
capacetinho-do-oco-do-pau;Microspingus cinereus;Cinereous Warbling-Finch;
capitão-castanho;Attila phoenicurus;Rufous-tailed Attila;
capitão-de-bigode-carijó;Capito niger;Black-spotted Barbet;
capitão-de-bigode-limão;Eubucco richardsoni;Lemon-throated Barbet;
capitão-de-cinta;Capito dayi;Black-girdled Barbet;
capitão-de-colar-amarelo;Eubucco tucinkae;Scarlet-hooded Barbet;
capitão-de-coroa;Capito aurovirens;Scarlet-crowned Barbet;
capitão-de-fronte-dourada;Capito auratus;Gilded Barbet;
capitão-de-peito-marrom;Capito brunneipectus;Brown-chested Barbet;
capitão-de-saíra;Attila rufus;Gray-hooded Attila;
capitão-de-saíra-amarelo;Attila spadiceus;Bright-rumped Attila;
capororoca;Coscoroba coscoroba;Coscoroba Swan;
cara-dourada;Phylloscartes roquettei;Minas Gerais Tyrannulet;
cara-pintada;Phylloscartes ceciliae;Alagoas Tyrannulet;
cara-suja;Pyrrhura griseipectus;Gray-breasted Parakeet;
cara-suja-do-pantanal;Pyrrhura molinae;Green-cheeked Parakeet;
carão;Aramus guarauna;Limpkin;
caraúna;Plegadis chihi;White-faced Ibis;
caraxué;Turdus nudigenis;Spectacled Thrush;
caraxué-da-campina;Turdus arthuri;Campina Thrush;
caraxué-da-várzea;Turdus debilis;Floodplain Thrush;
caraxué-de-bico-amarelo;Turdus lawrencii;Lawrence's Thrush;
caraxué-dos-tepuis;Turdus murinus;Pantepui Thrush;
carcará;Caracara plancus;Crested Caracara;
cardeal;Paroaria coronata;Red-crested Cardinal;
cardeal-amarelo;Gubernatrix cristata;Yellow Cardinal;
cardeal-da-amazônia;Paroaria gularis;Red-capped Cardinal;
cardeal-da-bolívia;Paroaria cervicalis;Bolivian Cardinal;
cardeal-do-araguaia;Paroaria baeri;Araguaia Cardinal;
cardeal-do-banhado;Amblyramphus holosericeus;Scarlet-headed Blackbird;
cardeal-do-nordeste;Paroaria dominicana;Red-cowled Cardinal;
cardeal-do-xingu;Paroaria xinguensis;Xingu Cardinal;
carqueja-de-bico-amarelo;Fulica leucoptera;White-winged Coot;
carqueja-de-bico-manchado;Fulica armillata;Red-gartered Coot;
carqueja-de-escudo-vermelho;Fulica rufifrons;Red-fronted Coot;
carrapateiro;Milvago chimachima;Yellow-headed Caracara;
carretão;Agelasticus atroolivaceus;Unicolored Blackbird;
carretão-do-oeste;Agelasticus cyanopus;Yellow-breasted Blackbird;
casaca-de-couro;Pseudoseisura cristata;Caatinga Cacholote;
casaca-de-couro-amarelo;Furnarius leucopus;Pale-legged Hornero;
casaca-de-couro-da-lama;Furnarius figulus;Wing-banded Hornero;
casaca-de-couro-de-crista-cinza;Pseudoseisura unirufa;Rufous Cacholote;
catatau;Campylorhynchus turdinus;Thrush-like Wren;
catirumbava;Orthogonys chloricterus;Olive-green Tanager;
catraca;Hemitriccus obsoletus;Brown-breasted Pygmy-Tyrant;
caturrita;Myiopsitta monachus;Monk Parakeet;
cauré;Falco rufigularis;Bat Falcon;
cavalaria;Paroaria capitata;Yellow-billed Cardinal;
chauá;Amazona rhodocorytha;Red-browed Parrot;
chibante;Laniisoma elegans;Shrike-like Cotinga;
chibum;Elaenia chiriquensis;Lesser Elaenia;
chifre-de-ouro;Heliactin bilophus;Horned Sungem;
chimango;Milvago chimango;Chimango Caracara;
chincoã-de-bico-vermelho;Piaya melanogaster;Black-bellied Cuckoo;
chincoã-pequeno;Coccycua minuta;Little Cuckoo;
chirito;Ramphocaenus melanurus;Long-billed Gnatwren;
chirito-de-coleira;Microbates collaris;Collared Gnatwren;
chirito-do-bambu;Ramphocaenus sticturus;Chattering Gnatwren;
choca-barrada;Thamnophilus doliatus;Barred Antshrike;
choca-barrada-do-nordeste;Thamnophilus capistratus;Caatinga Antshrike;
choca-bate-cabo;Thamnophilus punctatus;Northern Slaty-Antshrike;
choca-canela;Thamnophilus amazonicus;Amazonian Antshrike;
choca-cantadora;Pygiptila stellaris;Spot-winged Antshrike;
choca-d'água;Sakesphorus luctuosus;Glossy Antshrike;
choca-da-bolívia;Thamnophilus sticturus;Bolivian Slaty-Antshrike;
choca-da-mata;Thamnophilus caerulescens;Variable Antshrike;
choca-de-asa-vermelha;Thamnophilus torquatus;Rufous-winged Antshrike;
choca-de-cauda-pintada;Thamnophilus melanothorax;Band-tailed Antshrike;
choca-de-chapéu-vermelho;Thamnophilus ruficapillus;Rufous-capped Antshrike;
choca-de-crista-preta;Sakesphorus canadensis;Black-crested Antshrike;
choca-de-garganta-preta;Clytoctantes atrogularis;Rondonia Bushbird;
choca-de-natterer;Thamnophilus stictocephalus;Natterer's Slaty-Antshrike;
choca-de-olho-vermelho;Thamnophilus schistaceus;Plain-winged Antshrike;
choca-de-roraima;Thamnophilus insignis;Streak-backed Antshrike;
choca-de-sooretama;Thamnophilus ambiguus;Sooretama Slaty-Antshrike;
choca-do-acre;Thamnophilus divisorius;Acre Antshrike;
choca-do-bambu;Cymbilaimus sanctaemariae;Bamboo Antshrike;
choca-do-nordeste;Sakesphoroides cristatus;Silvery-cheeked Antshrike;
choca-do-planalto;Thamnophilus pelzelni;Planalto Slaty-Antshrike;
choca-lisa;Thamnophilus aethiops;White-shouldered Antshrike;
choca-listrada;Thamnophilus palliatus;Chestnut-backed Antshrike;
choca-murina;Thamnophilus murinus;Mouse-colored Antshrike;
choca-pintada;Megastictus margaritatus;Pearly Antshrike;
choca-preta;Neoctantes niger;Black Bushbird;
choca-preta-e-cinza;Thamnophilus nigrocinereus;Blackish-gray Antshrike;
choca-selada;Thamnophilus cryptoleucus;Castelnau's Antshrike;
chocão-carijó;Hypoedaleus guttatus;Spot-backed Antshrike;
choquinha-carijó;Drymophila malura;Dusky-tailed Antbird;
choquinha-chumbo;Dysithamnus plumbeus;Plumbeous Antvireo;
choquinha-cinzenta;Myrmotherula unicolor;Unicolored Antwren;
choquinha-da-serra;Drymophila genei;Rufous-tailed Antbird;
choquinha-da-várzea;Myrmotherula assimilis;Leaden Antwren;
choquinha-de-alagoas;Myrmotherula snowi;Alagoas Antwren;
choquinha-de-asa-comprida;Myrmotherula longipennis;Long-winged Antwren;
choquinha-de-asa-ferrugem;Dysithamnus xanthopterus;Rufous-backed Antvireo;
choquinha-de-asa-lisa;Myrmotherula behni;Plain-winged Antwren;
choquinha-de-barriga-parda;Epinecrophylla gutturalis;Brown-bellied Stipplethroat;
choquinha-de-barriga-ruiva;Isleria guttata;Rufous-bellied Antwren;
choquinha-de-bico-curto;Myrmotherula obscura;Moustached Antwren;
choquinha-de-cauda-ruiva;Epinecrophylla erythrura;Rufous-tailed Stipplethroat;
choquinha-de-coroa-listrada;Myrmotherula ambigua;Yellow-throated Antwren;
choquinha-de-dorso-vermelho;Drymophila ochropyga;Ochre-rumped Antbird;
choquinha-de-flanco-branco;Myrmotherula axillaris;White-flanked Antwren;
choquinha-de-garganta-amarela;Myrmotherula sclateri;Sclater's Antwren;
choquinha-de-garganta-carijó;Epinecrophylla haematonota;Rufous-backed Stipplethroat;
choquinha-de-garganta-cinza;Myrmotherula menetriesii;Gray Antwren;
choquinha-de-garganta-clara;Isleria hauxwelli;Plain-throated Antwren;
choquinha-de-garganta-pintada;Rhopias gularis;Star-throated Antwren;
choquinha-de-ihering;Myrmotherula iheringi;Ihering's Antwren;
choquinha-de-olho-branco;Epinecrophylla leucophthalma;White-eyed Stipplethroat;
choquinha-de-peito-pintado;Dysithamnus stictothorax;Spot-breasted Antvireo;
choquinha-de-peito-riscado;Myrmotherula cherriei;Cherrie's Antwren;
choquinha-de-rabo-cintado;Myrmotherula urosticta;Band-tailed Antwren;
choquinha-do-bambu;Myrmotherula oreni;Bamboo Antwren;
choquinha-do-madeira;Epinecrophylla amazonica;Rio Madeira Stipplethroat;
choquinha-do-oeste;Myrmotherula sunensis;Rio Suno Antwren;
choquinha-do-purus;Myrmotherula heteroptera;Purus Antwren;
choquinha-do-rio-negro;Epinecrophylla pyrrhonota;Negro Stipplethroat;
choquinha-do-rio-roosevelt;Epinecrophylla dentei;Roosevelt Stipplethroat;
choquinha-do-tapajós;Myrmotherula klagesi;Klages's Antwren;
choquinha-dublê;Drymophila rubricollis;Bertoni's Antbird;
choquinha-estriada;Myrmotherula surinamensis;Guianan Streaked-Antwren;
choquinha-estriada-da-amazônia;Myrmotherula multostriata;Amazonian Streaked-Antwren;
choquinha-fluminense;Myrmotherula fluminensis;Rio de Janeiro Antwren;
choquinha-lisa;Dysithamnus mentalis;Plain Antvireo;
choquinha-listrada;Drymophila devillei;Striated Antbird;
choquinha-miúda;Myrmotherula brachyura;Pygmy Antwren;
choquinha-ornada;Epinecrophylla ornata;Ornate Stipplethroat;
choquinha-pequena;Myrmotherula minor;Salvadori's Antwren;
chora-chuva-de-asa-branca;Monasa atra;Black Nunbird;
chora-chuva-de-bico-amarelo;Monasa flavirostris;Yellow-billed Nunbird;
chora-chuva-de-cara-branca;Monasa morphoeus;White-fronted Nunbird;
chora-chuva-preto;Monasa nigrifrons;Black-fronted Nunbird;
chorão;Sporophila leucoptera;White-bellied Seedeater;
choró-boi;Taraba major;Great Antshrike;
chorona-cinza;Laniocera hypopyrra;Cinereous Mourner;
chororó-cinzento;Cercomacra brasiliana;Rio de Janeiro Antbird;
chororó-de-goiás;Cercomacra ferdinandi;Bananal Antbird;
chororó-de-manu;Cercomacra manu;Manu Antbird;
chororó-didi;Cercomacroides laeta;Willis's Antbird;
chororó-do-pantanal;Cercomacra melanaria;Mato Grosso Antbird;
chororó-do-rio-branco;Cercomacra carbonaria;Rio Branco Antbird;
chororó-escuro;Cercomacroides tyrannina;Dusky Antbird;
chororó-negro;Cercomacroides nigrescens;Blackish Antbird;
chororó-negro-do-acre;Cercomacroides fuscicauda;Riparian Antbird;
chororó-pocuá;Cercomacra cinerascens;Gray Antbird;
chororó-preto;Cercomacroides serva;Black Antbird;
chorozinho-da-caatinga;Radinopsyche sellowi;Caatinga Antwren;
chorozinho-de-asa-vermelha;Herpsilochmus rufimarginatus;Southern Rufous-winged Antwren;
chorozinho-de-asa-vermelha-do-norte;Herpsilochmus frater;Northern Rufous-winged Antwren;
chorozinho-de-bico-comprido;Herpsilochmus longirostris;Large-billed Antwren;
chorozinho-de-boné;Herpsilochmus pileatus;Bahia Antwren;
chorozinho-de-cabeça-pintada;Herpsilochmus stictocephalus;Todd's Antwren;
chorozinho-de-cauda-pintada;Herpsilochmus sticturus;Spot-tailed Antwren;
chorozinho-de-chapéu-preto;Herpsilochmus atricapillus;Black-capped Antwren;
chorozinho-de-costas-manchadas;Herpsilochmus dorsimaculatus;Spot-backed Antwren;
chorozinho-de-papo-preto;Herpsilochmus pectoralis;Pectoral Antwren;
chorozinho-de-roraima;Herpsilochmus roraimae;Roraiman Antwren;
chorozinho-do-aripuanã;Herpsilochmus stotzi;Aripuana Antwren;
chorozinho-esperado;Herpsilochmus praedictus;Predicted Antwren;
chupa-dente;Conopophaga lineata;Rufous Gnateater;
chupa-dente-de-capuz;Conopophaga roberti;Hooded Gnateater;
chupa-dente-de-cinta;Conopophaga aurita;Chestnut-belted Gnateater;
chupa-dente-do-nordeste;Conopophaga cearae;Ceara Gnateater;
chupa-dente-do-peru;Conopophaga peruviana;Ash-throated Gnateater;
chupa-dente-grande;Conopophaga melanogaster;Black-bellied Gnateater;
chupim;Molothrus bonariensis;Shiny Cowbird;
chupim-azeviche;Molothrus rufoaxillaris;Screaming Cowbird;
chupim-do-brejo;Pseudoleistes guirahuro;Yellow-rumped Marshbird;
cigana;Opisthocomus hoazin;Hoatzin;
cigarra-bambu;Haplospiza unicolor;Uniform Finch;
cigarra-do-campo;Neothraupis fasciata;White-banded Tanager;
cigarra-parda;Asemospiza obscura;Dull-colored Grassquit;
cigarra-preta;Asemospiza fuliginosa;Sooty Grassquit;
cigarrinha-do-campo;Ammodramus aurifrons;Yellow-browed Sparrow;
cigarrinha-do-norte;Sporophila schistacea;Slate-colored Seedeater;
cigarrinha-do-sul;Sporophila falcirostris;Temminck's Seedeater;
cisne-de-pescoço-preto;Cygnus melancoryphus;Black-necked Swan;
cisqueiro;Clibanornis dendrocolaptoides;Canebrake Groundcreeper;
cisqueiro-do-rio;Clibanornis rectirostris;Chestnut-capped Foliage-gleaner;
cochicho;Anumbius annumbi;Firewood-Gatherer;
cocoruta;Elaenia ridleyana;Noronha Elaenia;
codorna-amarela;Nothura maculosa;Spotted Nothura;
codorna-carapé;Taoniscus nanus;Dwarf Tinamou;
codorna-do-nordeste;Nothura boraquira;White-bellied Nothura;
codorna-mineira;Nothura minor;Lesser Nothura;
codornizão;Crex crex;Corn Crake;
colegial;Lessonia rufa;Austral Negrito;
coleirinho;Sporophila caerulescens;Double-collared Seedeater;
coleiro-do-brejo;Sporophila collaris;Rusty-collared Seedeater;
coleiro-do-norte;Sporophila americana;Wing-barred Seedeater;
colhereiro;Platalea ajaja;Roseate Spoonbill;
colhereiro-europeu;Platalea leucorodia;Eurasian Spoonbill;
combatente;Calidris pugnax;Ruff;
coperete;Pseudoseisura lophotes;Brown Cacholote;
corneteiro-da-mata;Liosceles thoracicus;Rusty-belted Tapaculo;
coró-coró;Mesembrinibis cayennensis;Green Ibis;
coroa-de-fogo;Heterocercus linteatus;Flame-crowned Manakin;
corocoxó;Carpornis cucullata;Hooded Berryeater;
corredor-crestudo;Coryphistera alaudina;Lark-like Brushrunner;
corruíra;Troglodytes musculus;Southern House Wren;
corruíra-do-campo;Cistothorus platensis;Sedge Wren;
corruíra-do-tepui;Troglodytes rufulus;Tepui Wren;
corrupião;Icterus jamacaii;Campo Troupial;
corrupião-de-baltimore;Icterus galbula;Baltimore Oriole;
corta-ramos;Phytotoma rutila;White-tipped Plantcutter;
corucão;Podager nacunda;Nacunda Nighthawk;
coruja-buraqueira;Athene cunicularia;Burrowing Owl;
coruja-de-crista;Lophostrix cristata;Crested Owl;
coruja-do-mato;Strix virgata;Mottled Owl;
coruja-listrada;Strix hylophila;Rusty-barred Owl;
coruja-orelhuda;Asio clamator;Striped Owl;
coruja-preta;Strix huhula;Black-banded Owl;
corujinha-das-guianas;Megascops watsonii;Guianan Screech-Owl;
corujinha-de-alagoas;Megascops alagoensis;Alagoas Screech-Owl;
corujinha-de-belém;Megascops ater;Belem Screech-Owl;
corujinha-de-roraima;Megascops roraimae;Foothill Screech-Owl;
corujinha-do-mato;Megascops choliba;Tropical Screech-Owl;
corujinha-do-sul;Megascops sanctaecatarinae;Long-tufted Screech-Owl;
corujinha-do-xingu;Megascops stangiae;Xingu Screech-Owl;
corujinha-relógio;Megascops usta;Variable Screech-Owl;
corujinha-sapo;Megascops atricapilla;Black-capped Screech-Owl;
crejoá;Cotinga maculata;Banded Cotinga;
cricrió;Lipaugus vociferans;Screaming Piha;
cricrió-de-cinta-vermelha;Lipaugus streptophorus;Rose-collared Piha;
cuco-canoro;Cuculus canorus;Common Cuckoo;
cuitelão;Jacamaralcyon tridactyla;Three-toed Jacamar;
cuiú-cuiú;Pionopsitta pileata;Pileated Parrot;
cujubi;Aburria cujubi;Red-throated Piping-Guan;
curiango-do-banhado;Hydropsalis anomala;Sickle-winged Nightjar;
curica;Amazona amazonica;Orange-winged Parrot;
curica-de-bochecha-laranja;Pyrilia barrabandi;Orange-cheeked Parrot;
curica-de-chapéu-preto;Pyrilia caica;Caica Parrot;
curica-urubu;Pyrilia vulturina;Vulturine Parrot;
curica-verde;Graydidascalus brachyurus;Short-tailed Parrot;
curicaca;Theristicus caudatus;Buff-necked Ibis;
curicaca-real;Theristicus caerulescens;Plumbeous Ibis;
curió;Sporophila angolensis;Chestnut-bellied Seed-Finch;
curriqueiro;Geositta cunicularia;Common Miner;
curutié;Certhiaxis cinnamomeus;Yellow-chinned Spinetail;
cuspidor-de-máscara-preta;Conopophaga melanops;Black-cheeked Gnateater;
dançador-de-cauda-graduada;Ceratopipra chloromeros;Round-tailed Manakin;
dançador-de-coroa-dourada;Lepidothrix vilasboasi;Golden-crowned Manakin;
dançador-de-crista;Ceratopipra cornuta;Scarlet-horned Manakin;
dançador-do-tepui;Lepidothrix suavissima;Orange-bellied Manakin;
dançarino-de-crista-amarela;Heterocercus flavivertex;Yellow-crowned Manakin;
dançarino-de-crista-laranja;Heterocercus aurantiivertex;Orange-crowned Manakin;
dançarino-de-garganta-branca;Corapipo gutturalis;White-throated Manakin;
dançarino-oliváceo;Xenopipo uniformis;Olive Manakin;
dituí;Drymophila ferruginea;Ferruginous Antbird;
diuca;Diuca diuca;Common Diuca-Finch;
dragão;Pseudoleistes virescens;Brown-and-yellow Marshbird;
ema;Rhea americana;Greater Rhea;
encontro;Icterus pyrrhopterus;Variable Oriole;
enferrujadinho;Neopipo cinnamomea;Cinnamon Manakin-Tyrant;
enferrujado;Lathrotriccus euleri;Euler's Flycatcher;
entufado;Merulaxis ater;Slaty Bristlefront;
entufado-baiano;Merulaxis stresemanni;Stresemann's Bristlefront;
esmeralda-de-cauda-azul;Chlorostilbon mellisugus;Blue-tailed Emerald;
esmerilhão;Falco columbarius;Merlin;
esmerilhão-europeu;Falco aesalon;Eurasian Merlin;
estalador;Corythopis delalandi;Southern Antpipit;
estalador-do-norte;Corythopis torquatus;Ringed Antpipit;
estalinho;Phylloscartes difficilis;Serra do Mar Tyrannulet;
estorninho;Sturnus vulgaris;European Starling;
estrela-do-norte;Sporophila bouvronides;Lesson's Seedeater;
estrelinha-ametista;Calliphlox amethystina;Amethyst Woodstar;
estrelinha-preta;Synallaxis scutata;Ochre-cheeked Spinetail;
faigão-de-bico-fino;Pachyptila belcheri;Slender-billed Prion;
faigão-de-bico-largo;Pachyptila vittata;Broad-billed Prion;
faigão-rola;Pachyptila desolata;Antarctic Prion;
falcão-caburé;Micrastur ruficollis;Barred Forest-Falcon;
falcão-críptico;Micrastur mintoni;Cryptic Forest-Falcon;
falcão-de-buckley;Micrastur buckleyi;Buckley's Forest-Falcon;
falcão-de-coleira;Falco femoralis;Aplomado Falcon;
falcão-de-peito-laranja;Falco deiroleucus;Orange-breasted Falcon;
falcão-mateiro;Micrastur gilvicollis;Lined Forest-Falcon;
falcão-peregrino;Falco peregrinus;Peregrine Falcon;
falcão-relógio;Micrastur semitorquatus;Collared Forest-Falcon;
ferreirinho-da-capoeira;Poecilotriccus sylvia;Slate-headed Tody-Flycatcher;
ferreirinho-de-cara-branca;Poecilotriccus albifacies;White-cheeked Tody-Flycatcher;
ferreirinho-de-cara-parda;Poecilotriccus latirostris;Rusty-fronted Tody-Flycatcher;
ferreirinho-de-sobrancelha;Todirostrum chrysocrotaphum;Yellow-browed Tody-Flycatcher;
ferreirinho-de-testa-parda;Poecilotriccus fumifrons;Smoky-fronted Tody-Flycatcher;
ferreirinho-estriado;Todirostrum maculatum;Spotted Tody-Flycatcher;
ferreirinho-ferrugem;Poecilotriccus russatus;Ruddy Tody-Flycatcher;
ferreirinho-pintado;Todirostrum pictum;Painted Tody-Flycatcher;
ferreirinho-relógio;Todirostrum cinereum;Common Tody-Flycatcher;
ferro-velho;Euphonia pectoralis;Chestnut-bellied Euphonia;
figuinha-amazônica;Conirostrum margaritae;Pearly-breasted Conebill;
figuinha-de-rabo-castanho;Conirostrum speciosum;Chestnut-vented Conebill;
figuinha-do-mangue;Conirostrum bicolor;Bicolored Conebill;
filipe;Myiophobus fasciatus;Bran-colored Flycatcher;
filipe-do-tepui;Scotomyias roraimae;Roraiman Flycatcher;
fim-fim;Euphonia chlorotica;Purple-throated Euphonia;
fim-fim-grande;Euphonia xanthogaster;Orange-bellied Euphonia;
flamingo;Phoenicopterus ruber;American Flamingo;
flamingo-chileno;Phoenicopterus chilensis;Chilean Flamingo;
flamingo-da-puna;Phoenicoparrus jamesi;James's Flamingo;
flamingo-dos-andes;Phoenicoparrus andinus;Andean Flamingo;
flautim;Schiffornis virescens;Greenish Schiffornis;
flautim-da-amazônia;Schiffornis amazonum;Amazonian Schiffornis;
flautim-marrom;Schiffornis turdina;Thrush-like Schiffornis;
flautim-oliváceo;Schiffornis olivacea;Olivaceous Schiffornis;
flautim-pardo;Cnipodectes subbrunneus;Brownish Twistwing;
flautim-rufo;Cnipodectes superrufus;Rufous Twistwing;
flautim-ruivo;Schiffornis major;Varzea Schiffornis;
flautista-do-tepui;Microcerculus ustulatus;Flutist Wren;
formigueiro-assobiador;Myrmoderus loricatus;White-bibbed Antbird;
formigueiro-chumbo;Myrmelastes hyperythrus;Plumbeous Antbird;
formigueiro-cinza;Myrmelastes schistaceus;Slate-colored Antbird;
formigueiro-da-serra;Formicivora serrana;Serra Antwren;
formigueiro-de-asa-pintada;Myrmelastes leucostigma;Spot-winged Antbird;
formigueiro-de-barriga-branca;Myrmeciza longipes;White-bellied Antbird;
formigueiro-de-barriga-cinza;Ammonastes pelzelni;Gray-bellied Antbird;
formigueiro-de-barriga-preta;Formicivora melanogaster;Black-bellied Antwren;
formigueiro-de-cabeça-negra;Formicivora erythronotos;Black-hooded Antwren;
formigueiro-de-cabeça-preta;Percnostola rufifrons;Black-headed Antbird;
formigueiro-de-cara-preta;Myrmoborus myotherinus;Black-faced Antbird;
formigueiro-de-cara-ruiva;Myrmelastes rufifacies;Rufous-faced Antbird;
formigueiro-de-cauda-baia;Sciaphylax pallens;Eastern White-bellied Antbird;
formigueiro-de-cauda-castanha;Sciaphylax hemimelaena;Chestnut-tailed Antbird;
formigueiro-de-cauda-curta;Myrmelastes humaythae;Humaita Antbird;
formigueiro-de-cauda-preta;Myrmoborus melanurus;Black-tailed Antbird;
formigueiro-de-cauda-ruiva;Myrmoderus ruficauda;Scalloped Antbird;
formigueiro-de-goeldi;Akletos goeldii;Goeldi's Antbird;
formigueiro-de-hellmayr;Percnostola subcristata;Hellmayr's Antbird;
formigueiro-de-peito-preto;Myrmophylax atrothorax;Black-throated Antbird;
formigueiro-de-pelzeln;Percnostola minor;Amazonas Antbird;
