nome_popular;nome_cientifico;nome_ingles;
araçari-de-bico-de-marfim;Pteroglossus azara;Ivory-billed Aracari;
araçari-de-bico-marrom;Pteroglossus mariae;Brown-mandibled Aracari;
araçari-de-bico-riscado;Pteroglossus inscriptus;Lettered Aracari;
araçari-de-cinta-dupla;Pteroglossus pluricinctus;Many-banded Aracari;
araçari-de-pescoço-vermelho;Pteroglossus bitorquatus;Red-necked Aracari;
araçari-miudinho;Pteroglossus viridis;Green Aracari;
araçari-mulato;Pteroglossus beauharnaisii;Curl-crested Aracari;
araçari-negro;Selenidera piperivora;Guianan Toucanet;
araçari-poca;Selenidera maculirostris;Spot-billed Toucanet;
aracuã-de-barriga-branca;Ortalis araucuan;East Brazilian Chachalaca;
aracuã-de-sobrancelhas;Ortalis superciliaris;Buff-browed Chachalaca;
aracuã-do-pantanal;Ortalis canicollis;Chaco Chachalaca;
aracuã-escamoso;Ortalis squamata;Scaled Chachalaca;
aracuã-guarda-faca;Ortalis remota;Pinto's Chachalaca;
aracuã-pequeno;Ortalis motmot;Variable Chachalaca;
aracuã-pintado;Ortalis guttata;Speckled Chachalaca;
aracuãzinho;Ortalis ruficeps;Chestnut-headed Chachalaca;
arapaçu-assobiador;Xiphorhynchus pardalotus;Chestnut-rumped Woodcreeper;
arapaçu-barrado;Dendrocolaptes certhia;Amazonian Barred Woodcreeper;
arapaçu-barrado-do-juruá;Dendrocolaptes juruanus;Juruá Woodcreeper;
arapaçu-barrado-do-leste;Dendrocolaptes medius;Todd's Woodcreeper;
arapaçu-barrado-do-napo;Dendrocolaptes radiolatus;Napo Woodcreeper;
arapaçu-barrado-do-tapajós;Dendrocolaptes ridgwayi;Ridgway's Woodcreeper;
arapaçu-barrado-do-xingu;Dendrocolaptes retentus;Xingu Woodcreeper;
arapaçu-beija-flor;Campylorhamphus trochilirostris;Red-billed Scythebill;
arapaçu-bico-de-cunha;Glyphorynchus spirurus;Wedge-billed Woodcreeper;
arapaçu-concolor;Dendrocolaptes concolor;Plain-colored Woodcreeper;
arapaçu-da-taoca;Dendrocincla merula;White-chinned Woodcreeper;
arapaçu-de-barriga-pintada;Hylexetastes stresemanni;Bar-bellied Woodcreeper;
arapaçu-de-bico-branco;Dendroplex picus;Straight-billed Woodcreeper;
arapaçu-de-bico-comprido;Nasica longirostris;Long-billed Woodcreeper;
arapaçu-de-bico-curvo;Campylorhamphus procurvoides;Curve-billed Scythebill;
arapaçu-de-bico-curvo-de-rondônia;Campylorhamphus probatus;Rondonia Scythebill;
arapaçu-de-bico-curvo-do-napo;Campylorhamphus sanus;Zimmer's Scythebill;
